[2024-12-09 06:14:04] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-12-09 06:14:04] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-12-09 06:14:32] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-12-09 06:14:32] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
