[2024-11-20 03:39:11] Error: [2] Undefined variable $prod_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:827
[2024-11-20 03:39:11] Error: [2] Undefined variable $prod_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:827
[2024-11-20 03:39:11] Error: [2] Undefined variable $prod_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:827
[2024-11-20 03:39:11] Error: [2] Undefined variable $prod_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:827
[2024-11-20 03:39:12] Error: [2] Undefined variable $prod_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:827
[2024-11-20 03:56:04] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 03:56:04] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 04:02:53] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 04:02:53] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 04:05:31] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 04:05:31] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 04:06:07] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 04:06:07] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 10:00:45] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 10:00:45] Error: [2] Undefined variable $id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\categorylist.php:161
[2024-11-20 10:32:42] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:32:42] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:32:42] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:32:42] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:32:42] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:32:42] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:33:03] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:33:03] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:33:03] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:33:03] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:33:03] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:33:03] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:33:03] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:33:03] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:35:48] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:35:48] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:35:48] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:35:48] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:35:48] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 10:35:48] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 10:35:48] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
